year,month,temp_max_mean,temp_min_mean,rain_sum,humidity_mean,radiation_sum,soil_0_7_mean,soil_7_28_mean
2005,3,31.47741935483871,19.80322580645161,2.4,62.483870967741936,684.12,0.19818413978494623,0.2769166666666667
2005,4,32.68,22.066666666666666,64.3,62.8,676.13,0.23611111111111108,0.2818263888888889
2005,5,31.345161290322583,22.62258064516129,106.6,73.90322580645162,650.05,0.3733064516129032,0.3320241935483871
2005,6,30.383333333333333,22.646666666666665,123.0,75.63333333333334,563.7,0.37995277777777775,0.3450638888888889
2005,7,27.925806451612903,21.612903225806452,216.2,81.0,508.94,0.4467258064516129,0.4416236559139785
2005,8,27.651612903225807,21.44516129032258,192.3,83.3225806451613,516.93,0.4661747311827956,0.4671841397849462
2005,9,26.726666666666667,20.976666666666667,341.7,85.43333333333334,423.29,0.4749805555555555,0.48053472222222215
2005,10,26.70967741935484,20.932258064516127,94.0,84.16129032258064,465.56,0.4587405913978494,0.46574193548387094
2005,11,26.506666666666668,19.996666666666666,50.0,81.83333333333333,438.08,0.40044027777777774,0.4262583333333333
2005,12,22.416129032258063,18.654838709677417,176.6,87.48387096774194,236.86,0.46116801075268815,0.4562284946236559
2006,1,25.348387096774193,18.0258064516129,10.2,79.2258064516129,466.52,0.3226075268817204,0.391766129032258
2006,2,27.650000000000002,18.974999999999998,3.1,73.89285714285714,509.31,0.22388690476190473,0.32919494047619047
2006,3,30.348387096774193,19.61935483870968,46.6,70.54838709677419,685.81,0.25643010752688167,0.33529973118279566
2006,4,31.743333333333336,22.066666666666666,72.2,68.2,648.95,0.2973472222222222,0.31913611111111106
2006,5,30.483870967741936,22.009677419354837,134.0,74.09677419354838,630.85,0.40584677419354837,0.380369623655914
2006,6,29.596666666666668,22.043333333333333,151.6,77.8,552.45,0.39754027777777773,0.3929694444444444
2006,7,27.14516129032258,21.780645161290323,369.7,83.64516129032258,515.52,0.4685685483870968,0.4698279569892473
2006,8,26.603225806451615,21.6,304.3,85.35483870967742,461.24,0.4770577956989247,0.48169892473118275
2006,9,27.023333333333333,20.923333333333336,166.5,84.86666666666666,484.26,0.47244027777777775,0.4767611111111111
2006,10,26.825806451612905,20.36774193548387,92.3,83.06451612903226,494.32,0.4233427419354838,0.4420913978494624
2006,11,28.223333333333336,19.706666666666667,31.5,77.13333333333334,541.67,0.3194916666666667,0.3779444444444444
2006,12,26.325806451612905,18.770967741935483,12.2,75.41935483870968,446.99,0.22912499999999997,0.3134852150537634
2007,1,25.106451612903225,18.219354838709677,8.2,76.03225806451613,419.99,0.22655241935483866,0.2952876344086021
2007,2,30.42142857142857,18.217857142857145,1.0,64.42857142857143,604.62,0.19873363095238092,0.2848735119047619
2007,3,31.593548387096774,20.641935483870967,17.4,66.29032258064517,631.45,0.22848790322580642,0.2797607526881721
2007,4,32.38333333333333,22.15,35.0,66.83333333333333,639.06,0.23229861111111108,0.2790513888888889
2007,5,29.03548387096774,21.93548387096774,185.3,80.48387096774194,558.12,0.4293131720430107,0.40807795698924726
2007,6,29.503333333333334,21.853333333333335,159.0,80.4,555.54,0.43745138888888885,0.4232416666666667
2007,7,27.799999999999997,21.596774193548388,188.5,82.29032258064517,510.28999999999996,0.47490188172043013,0.474391129032258
2007,8,26.79032258064516,21.419354838709676,536.1,84.54838709677419,485.23,0.4722903225806452,0.47908870967741934
2007,9,27.453333333333333,20.926666666666666,296.9,85.66666666666667,496.98,0.4636222222222222,0.46444305555555554
2007,10,25.738709677419354,20.664516129032258,232.7,87.09677419354838,398.65000000000003,0.4737956989247311,0.4801182795698924
2007,11,24.08,18.776666666666664,213.4,84.7,361.37,0.4576472222222222,0.46558055555555555
2007,12,25.29032258064516,18.345161290322583,10.700000000000001,80.16129032258064,455.73,0.30624731182795695,0.376508064516129
2008,1,25.164516129032258,17.416129032258063,36.9,79.29032258064517,455.14,0.28826612903225807,0.32659005376344086
2008,2,24.78620689655172,17.28965517241379,20.5,78.06896551724138,446.45,0.2629511494252873,0.310478448275862
2008,3,28.751612903225805,19.04516129032258,25.9,73.58064516129032,624.48,0.2414341397849462,0.29398521505376346
2008,4,30.913333333333334,21.58,41.7,71.56666666666666,625.24,0.27036666666666664,0.2850972222222222
2008,5,28.42258064516129,21.509677419354837,163.5,81.19354838709677,531.33,0.4385752688172043,0.3964327956989247
2008,6,29.23,21.596666666666668,115.0,78.53333333333333,582.97,0.42210277777777777,0.41108194444444446
2008,7,28.309677419354838,21.5258064516129,179.1,80.83870967741936,540.45,0.4380658602150537,0.4384825268817204
2008,8,27.4741935483871,21.080645161290324,183.4,82.87096774193549,515.99,0.4681599462365591,0.4700013440860215
2008,9,26.613333333333333,21.226666666666667,205.7,85.1,433.76,0.47805,0.47994583333333335
2008,10,27.299999999999997,20.793548387096774,228.4,85.80645161290323,473.36,0.46729301075268814,0.46983064516129025
2008,11,24.923333333333336,20.086666666666666,110.4,85.8,354.74,0.4546763888888889,0.4630222222222222
2008,12,23.461290322580645,18.05483870967742,59.3,83.93548387096774,344.77,0.3814811827956989,0.41009677419354834
2009,1,23.258064516129032,16.1,8.5,78.6774193548387,476.83,0.3511559139784946,0.407141129032258
2009,2,28.353571428571428,18.714285714285715,3.6,74.0,513.11,0.21843749999999998,0.31780952380952376
2009,3,30.861290322580647,20.948387096774194,17.9,69.54838709677419,651.87,0.2218387096774193,0.2902379032258064
2009,4,29.57,21.779999999999998,192.7,79.23333333333333,536.16,0.3454597222222222,0.3259916666666667
2009,5,27.893548387096775,21.17096774193548,154.7,83.09677419354838,496.87,0.45890860215053764,0.4556922043010752
2009,6,28.863333333333333,22.113333333333333,106.5,79.53333333333333,543.26,0.4292680555555555,0.4314722222222222
2009,7,27.68064516129032,21.848387096774193,197.9,81.87096774193549,492.34,0.444260752688172,0.43979166666666664
2009,8,28.387096774193548,21.6,161.9,82.58064516129032,579.33,0.4711827956989247,0.47335483870967743
2009,9,25.673333333333336,21.31,513.1,89.3,339.43,0.4825527777777777,0.48505
2009,10,26.82903225806452,20.13225806451613,145.9,84.45161290322581,487.42,0.46452688172043005,0.47654435483870966
2009,11,25.709999999999997,19.470000000000002,119.49999999999999,82.63333333333334,433.36,0.3763708333333333,0.41667499999999996
